CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Mordekaiser,Fiendish Codex,Epic,0.0343,0.3333,0.96,20.0,Haunting Guise,Bramble Vest,Dusk and Dawn
Fiddlesticks,Locket of the Iron Solari,Legendary,0.0317,0.4286,1.88,20.0,Bandlepipes,Zeke's Convergence,Trailblazer
Smolder,Cloth Armor,Basic,0.0072,0.3333,1.95,30.0,Essence Reaver,Spear of Shojin,Overlord's Bloodmail
Varus,Mejai's Soulstealer,Legendary,0.0036,0.5,2.8,30.0,Dusk and Dawn,Nashor's Tooth,Kaenic Rookern
Jinx,Phantom Dancer,Legendary,0.2237,0.5817,2.63,20.0,Infinity Edge,Kraken Slayer,Yun Tal Wildarrows
Vi,Bramble Vest,Epic,0.0083,1.0,1.75,25.0,Black Cleaver,Kindlegem,Spectre's Cowl
Orianna,Oblivion Orb,Epic,0.0281,0.4545,3.63,15.0,Luden's Companion,Shadowflame,Rabadon's Deathcap
Volibear,Kaenic Rookern,Legendary,0.0108,0.5,3.06,25.0,Trinity Force,Dead Man's Plate,Dusk and Dawn
Zaahen,Boots,Boots,0.0927,0.5135,1.62,5.0,Trinity Force,Stridebreaker,Tunneler
Kog Maw,"Jak'Sho, The Protean",Legendary,0.0608,0.6667,2.64,25.0,Guinsoo's Rageblade,Blade of The Ruined King,Runaan's Hurricane
Nocturne,Boots of Swiftness,Boots,0.0081,1.0,5.4,25.0,Experimental Hexplate,Fiendhunter Bolts,Opportunity
KSante,Refillable Potion,Consumable,0.088,0.36,0.84,5.0,Doran's Shield,Iceborn Gauntlet,Plated Steelcaps
Akshan,Refillable Potion,Consumable,0.0938,0.6563,2.6,5.0,Doran's Blade,Statikk Shiv,The Collector
Graves,Luden's Companion,Legendary,0.0076,0.0,1.25,20.0,,,
Sona,Mercury's Treads,Boots,0.0145,0.2857,3.46,20.0,Echoes of Helia,Forbidden Idol,Moonstone Renewer
Shyvana,Negatron Cloak,Epic,0.0385,0.0,1.33,25.0,Navori Flickerblade,Spear of Shojin,Titanic Hydra
Lissandra,Dark Seal,Starter,0.2901,0.5789,2.48,5.0,Malignance,Doran's Ring,Shadowflame
Katarina,Cull,Starter,0.0021,1.0,1.63,5.0,Blade of The Ruined King,Doran's Blade,Hearthbound Axe
Aatrox,Kindlegem,Epic,0.0084,0.75,2.08,30.0,Sundered Sky,Death's Dance,Spectre's Cowl
Amumu,Hextech Rocketbelt,Legendary,0.0127,1.0,3.2,10.0,Zhonya's Hourglass,,
Twisted Fate,Trinity Force,Legendary,0.0068,0.0,1.33,15.0,Kraken Slayer,Guinsoo's Rageblade,Rapid Firecannon
Kalista,Executioner's Calling,Epic,0.0095,1.0,5.0,20.0,Blade of The Ruined King,Guardian Angel,Guinsoo's Rageblade
Yasuo,Steel Sigil,Epic,0.0917,0.5641,2.1,30.0,Immortal Shieldbow,Infinity Edge,Blade of The Ruined King
Karma,Stealth Ward,Trinket,0.009,0.1667,1.55,5.0,Malignance,Doran's Ring,Cosmic Drive
Vayne,Kindlegem,Epic,0.0035,0.5,1.8,20.0,Essence Reaver,Experimental Hexplate,Guinsoo's Rageblade
Kayle,Blighting Jewel,Epic,0.0465,0.5,2.04,30.0,Nashor's Tooth,Rabadon's Deathcap,Dusk and Dawn
Poppy,Serylda's Grudge,Legendary,0.0055,1.0,4.25,20.0,Edge of Night,Opportunity,Youmuu's Ghostblade
Master Yi,Tunneler,Epic,0.0579,0.5,2.37,20.0,Guinsoo's Rageblade,Kraken Slayer,Blade of The Ruined King
Aatrox,Spear of Shojin,Legendary,0.3229,0.4026,2.5,15.0,Sundered Sky,Voltaic Cyclosword,Death's Dance
Anivia,Lost Chapter,Epic,0.0737,0.381,1.32,20.0,Rod of Ages,Fiendish Codex,Zhonya's Hourglass
Corki,Cloth Armor,Basic,0.0283,0.4211,2.72,15.0,Essence Reaver,Infinity Edge,The Collector
Taric,Spectre's Cowl,Epic,0.0197,0.3333,2.44,25.0,Knight's Vow,Frozen Heart,Locket of the Iron Solari
Jhin,Boots of Swiftness,Boots,0.3276,0.5365,3.53,10.0,Infinity Edge,Stormrazor,Rapid Firecannon
Rammus,Cloth Armor,Basic,0.1818,0.6429,4.97,5.0,Thornmail,Plated Steelcaps,Hollow Radiance
Akali,Hextech Alternator,Epic,0.1099,0.3559,1.55,10.0,Hextech Gunblade,Stormsurge,Zhonya's Hourglass
Corki,Negatron Cloak,Epic,0.003,0.5,2.38,25.0,Essence Reaver,Infinity Edge,Lord Dominik's Regards
Gragas,Dark Seal,Starter,0.1667,0.4286,2.4,5.0,Sorcerer's Shoes,Hextech Rocketbelt,Luden's Companion
Talon,B. F. Sword,Basic,0.0042,1.0,4.33,20.0,Ionian Boots of Lucidity,Youmuu's Ghostblade,Axiom Arc
Fiora,Executioner's Calling,Epic,0.0214,0.3333,0.96,30.0,Ravenous Hydra,Trinity Force,Hullbreaker
Pantheon,Sterak's Gage,Legendary,0.0648,0.381,2.38,30.0,Sundered Sky,Black Cleaver,Guardian Angel
Karma,Morellonomicon,Legendary,0.0045,0.3333,2.33,35.0,Redemption,Moonstone Renewer,Dream Maker
Annie,Boots of Swiftness,Boots,0.0545,0.3333,2.13,10.0,Redemption,Shurelya's Battlesong,Fiendish Codex
Lee Sin,Farsight Alteration,Trinket,0.0022,1.0,2.71,30.0,Eclipse,Glowing Mote,Long Sword
Tristana,Noonquiver,Epic,0.0508,0.5,2.38,25.0,Infinity Edge,Navori Flickerblade,Yun Tal Wildarrows
Camille,Ravenous Hydra,Legendary,0.7303,0.6306,2.26,20.0,Trinity Force,Spear of Shojin,Sterak's Gage
Jarvan IV,Caulfield's Warhammer,Epic,0.0861,0.3913,3.37,10.0,Profane Hydra,Axiom Arc,Steel Sigil
Graves,Maw of Malmortius,Legendary,0.0458,0.5,3.34,25.0,Youmuu's Ghostblade,Lord Dominik's Regards,The Collector
Kassadin,Refillable Potion,Consumable,0.0486,0.32,1.06,5.0,Tear of the Goddess,Rod of Ages,Dark Seal
Ezreal,Spear of Shojin,Legendary,0.347,0.4872,2.78,25.0,Trinity Force,Serylda's Grudge,Endless Hunger
Senna,Farsight Alteration,Trinket,0.0919,0.56,2.59,20.0,Doran's Blade,Statikk Shiv,Black Cleaver
Shaco,Ionian Boots of Lucidity,Boots,0.3495,0.5,3.26,15.0,Blackfire Torch,Liandry's Torment,Cryptbloom
Jinx,Yun Tal Wildarrows,Legendary,0.6784,0.5108,2.29,15.0,Infinity Edge,Runaan's Hurricane,Lord Dominik's Regards
Zoe,Mikael's Blessing,Legendary,0.0035,1.0,3.33,25.0,Horizon Focus,Shadowflame,
Briar,Cloak of Agility,Basic,0.0265,0.6667,4.68,20.0,Boots,Executioner's Calling,The Collector
Ashe,Boots of Swiftness,Boots,0.0073,0.0,1.76,10.0,Bandlepipes,Imperial Mandate,Axiom Arc
Dr Mundo,Spectre's Cowl,Epic,0.0717,0.55,2.65,25.0,Heartsteel,Dead Man's Plate,Warmog's Armor
Akshan,The Brutalizer,Epic,0.0029,1.0,2.63,30.0,Infinity Edge,Rapid Firecannon,Statikk Shiv
Kayn,Guardian Angel,Legendary,0.0112,1.0,2.94,35.0,Edge of Night,Serylda's Grudge,Axiom Arc
Smolder,Death's Dance,Legendary,0.012,0.4,2.26,35.0,Spear of Shojin,Black Cleaver,Essence Reaver
Corki,Farsight Alteration,Trinket,0.8482,0.5175,2.53,15.0,Doran's Blade,Infinity Edge,Trinity Force
Rell,Null-Magic Mantle,Basic,0.1175,0.3077,2.26,10.0,Kindlegem,Cloth Armor,Zeke's Convergence
Volibear,Blasting Wand,Basic,0.0072,0.25,0.64,5.0,Boots,Dagger,Kindlegem
Kayle,Fiendhunter Bolts,Legendary,0.0078,1.0,2.68,20.0,Infinity Edge,Yun Tal Wildarrows,
Nidalee,Mejai's Soulstealer,Legendary,0.0989,0.7778,6.1,15.0,Lich Bane,Zhonya's Hourglass,Shadowflame
Sett,Force of Nature,Legendary,0.0151,0.6667,3.44,35.0,Stridebreaker,Overlord's Bloodmail,Sterak's Gage
Gangplank,Guardian Angel,Legendary,0.0143,0.8,3.66,35.0,Essence Reaver,Infinity Edge,Iceborn Gauntlet
Sejuani,Kaenic Rookern,Legendary,0.0952,0.375,2.42,30.0,Heartsteel,Sunfire Aegis,Thornmail
Sivir,Plated Steelcaps,Boots,0.0397,0.5,2.4,15.0,Infinity Edge,Essence Reaver,Navori Flickerblade
Nasus,Noonquiver,Epic,0.007,0.0,0.8,15.0,Essence Reaver,Immortal Shieldbow,
Elise,Rabadon's Deathcap,Legendary,0.1261,0.4286,2.85,30.0,Stormsurge,Shadowflame,Void Staff
Qiyana,Mejai's Soulstealer,Legendary,0.0019,1.0,4.0,15.0,Dusk and Dawn,Hextech Gunblade,Zhonya's Hourglass
Kayle,Bramble Vest,Epic,0.0078,0.0,1.4,10.0,Chain Vest,Guinsoo's Rageblade,Nashor's Tooth
Darius,Youmuu's Ghostblade,Legendary,0.0839,0.4348,2.63,15.0,Dead Man's Plate,Force of Nature,Sterak's Gage
Rakan,Control Ward,Consumable,0.9176,0.4941,3.36,15.0,Zeke's Convergence,Ionian Boots of Lucidity,Locket of the Iron Solari
Riven,Tiamat,Epic,0.0026,1.0,1.14,10.0,Axiom Arc,Endless Hunger,Sundered Sky
Yunara,Phantom Dancer,Legendary,0.0271,0.5,2.61,20.0,Kraken Slayer,Infinity Edge,Fiendhunter Bolts
Gnar,Terminus,Legendary,0.0049,1.0,3.0,20.0,Randuin's Omen,Trinity Force,Wit's End
Gragas,Amplifying Tome,Basic,0.2143,0.2889,1.74,5.0,Hextech Rocketbelt,Ionian Boots of Lucidity,Luden's Companion
Blitzcrank,Thornmail,Legendary,0.0181,0.25,3.59,30.0,Locket of the Iron Solari,Bandlepipes,Kaenic Rookern
Syndra,Verdant Barrier,Epic,0.016,0.8889,3.23,30.0,Blackfire Torch,Cosmic Drive,Rabadon's Deathcap
Sylas,Shurelya's Battlesong,Legendary,0.0016,1.0,1.67,25.0,Hextech Gunblade,,
Mordekaiser,Spirit Visage,Legendary,0.1257,0.5,2.23,30.0,Rylai's Crystal Scepter,Riftmaker,Liandry's Torment
Chogath,Farsight Alteration,Trinket,0.2176,0.4808,1.72,15.0,Riftmaker,Hextech Rocketbelt,Doran's Ring
Ezreal,Needlessly Large Rod,Basic,0.0018,0.0,0.86,30.0,Lich Bane,Void Staff,
Velkoz,Hextech Alternator,Epic,0.102,0.2667,2.45,10.0,Luden's Companion,Horizon Focus,Blackfire Torch
Karthus,Shadowflame,Legendary,0.65,0.5207,2.53,20.0,Blackfire Torch,Rabadon's Deathcap,Void Staff
Kled,Overlord's Bloodmail,Legendary,0.1759,0.5263,2.88,25.0,Titanic Hydra,Hullbreaker,Black Cleaver
Olaf,Vampiric Scepter,Epic,0.0105,0.0,0.85,10.0,Stridebreaker,Death's Dance,Experimental Hexplate
Chogath,Haunting Guise,Epic,0.0921,0.3636,1.27,20.0,Hextech Rocketbelt,Fiendish Codex,Dead Man's Plate
Jinx,Berserker's Greaves,Boots,0.4064,0.4892,2.48,10.0,Infinity Edge,Yun Tal Wildarrows,Runaan's Hurricane
Seraphine,Locket of the Iron Solari,Legendary,0.0036,1.0,4.75,20.0,Mikael's Blessing,,
Khazix,Tunneler,Epic,0.0397,0.5,2.38,20.0,Umbral Glaive,Serrated Dirk,Bastionbreaker
Viktor,Liandry's Torment,Legendary,0.4593,0.4677,2.87,20.0,Blackfire Torch,Zhonya's Hourglass,Rabadon's Deathcap
Nidalee,Boots,Boots,0.0879,0.375,1.28,10.0,Lich Bane,Echoes of Helia,Zhonya's Hourglass
Fiora,Stormrazor,Legendary,0.0357,0.7,2.3,20.0,Endless Hunger,Ravenous Hydra,Death's Dance
Sylas,Manamune,Legendary,0.0016,1.0,3.17,20.0,Rod of Ages,,
Nautilus,Faerie Charm,Basic,0.0037,0.0,1.23,25.0,Fiendish Codex,Locket of the Iron Solari,Plated Steelcaps
Veigar,Frozen Heart,Legendary,0.0082,0.0,1.54,25.0,Actualizer,Rod of Ages,Rylai's Crystal Scepter
Talon,Caulfield's Warhammer,Epic,0.0811,0.359,2.55,15.0,Youmuu's Ghostblade,Umbral Glaive,Opportunity
Talon,Chempunk Chainsword,Legendary,0.0083,0.0,2.12,30.0,Black Cleaver,Death's Dance,Profane Hydra
Sivir,Hexoptics C44,Legendary,0.0074,0.6667,2.45,15.0,Infinity Edge,Guardian Angel,Bloodthirster
Mel,Stormsurge,Legendary,0.042,0.6,4.59,20.0,Shadowflame,Rabadon's Deathcap,Blackfire Torch
Zac,Gustwalker Hatchling,Starter,0.0035,0.0,0.4,5.0,Ionian Boots of Lucidity,Liandry's Torment,
Renata,Redemption,Legendary,0.3023,0.5769,3.41,25.0,Locket of the Iron Solari,Bandlepipes,Shurelya's Battlesong
Taliyah,Echoes of Helia,Legendary,0.0041,0.5,2.55,20.0,Hextech Rocketbelt,Liandry's Torment,Rylai's Crystal Scepter
Janna,Shadowflame,Legendary,0.0018,0.0,4.17,25.0,Mejai's Soulstealer,Stormsurge,
Olaf,Control Ward,Consumable,0.0209,0.5,1.47,5.0,Plated Steelcaps,Stridebreaker,Caulfield's Warhammer
Yuumi,Oracle Lens,Trinket,0.9825,0.4702,4.19,10.0,Moonstone Renewer,Control Ward,Forbidden Idol
Lillia,Banshee's Veil,Legendary,0.0096,1.0,2.25,35.0,Liandry's Torment,Rylai's Crystal Scepter,Zhonya's Hourglass
Ezreal,The Brutalizer,Epic,0.0071,0.0,1.09,20.0,Essence Reaver,Trinity Force,Serylda's Grudge
Akshan,Dagger,Basic,0.0205,1.0,3.57,5.0,Infinity Edge,The Collector,Boots
Janna,Locket of the Iron Solari,Legendary,0.0162,0.7778,5.31,25.0,Redemption,Moonstone Renewer,Shurelya's Battlesong
Ivern,Cloth Armor,Basic,0.0054,1.0,3.0,15.0,Ionian Boots of Lucidity,Mejai's Soulstealer,Moonstone Renewer
Zeri,Boots,Boots,0.0205,0.0,1.25,10.0,Yun Tal Wildarrows,Scout's Slingshot,
Azir,Morellonomicon,Legendary,0.0076,0.0,3.2,30.0,Nashor's Tooth,Rabadon's Deathcap,Rylai's Crystal Scepter
Pyke,Frozen Heart,Legendary,0.0438,0.5625,3.24,30.0,Umbral Glaive,Edge of Night,Youmuu's Ghostblade
Malzahar,Sapphire Crystal,Basic,0.0062,1.0,4.0,5.0,Bloodletter's Curse,Liandry's Torment,Sorcerer's Shoes
Corki,Steel Sigil,Epic,0.0119,0.375,2.83,30.0,Essence Reaver,Infinity Edge,The Collector
Diana,Doran's Ring,Starter,0.0435,0.4857,2.37,5.0,Dark Seal,Stormsurge,Sorcerer's Shoes
Senna,Executioner's Calling,Epic,0.0956,0.5385,3.28,15.0,Black Cleaver,Rapid Firecannon,Zeal
Bard,Force of Nature,Legendary,0.0066,0.75,4.75,25.0,Dead Man's Plate,Bandlepipes,Locket of the Iron Solari
Olaf,Chain Vest,Epic,0.0052,0.0,2.13,30.0,Maw of Malmortius,Overlord's Bloodmail,Ravenous Hydra
Kaisa,Seeker's Armguard,Epic,0.0635,0.5556,2.51,25.0,Kraken Slayer,Guinsoo's Rageblade,Dusk and Dawn
Singed,Hextech Alternator,Epic,0.014,0.6667,3.6,20.0,Liandry's Torment,Fiendish Codex,Mejai's Soulstealer
Yorick,Last Whisper,Epic,0.0667,0.3333,1.62,25.0,Trinity Force,Caulfield's Warhammer,Spear of Shojin
Briar,The Brutalizer,Epic,0.0088,1.0,2.5,15.0,The Collector,,
Irelia,Dusk and Dawn,Legendary,0.0045,1.0,4.57,20.0,Blade of The Ruined King,Death's Dance,Endless Hunger
Rakan,Needlessly Large Rod,Basic,0.0065,0.3333,2.73,30.0,Luden's Companion,Amplifying Tome,Hextech Gunblade
Lee Sin,Spear of Shojin,Legendary,0.0044,0.5,2.73,20.0,Sundered Sky,Profane Hydra,
Zilean,Boots of Swiftness,Boots,0.0399,0.5455,3.76,10.0,Shurelya's Battlesong,Bandlepipes,Locket of the Iron Solari
Kog Maw,Manamune,Legendary,0.0068,0.0,1.67,15.0,Hexoptics C44,Statikk Shiv,Wit's End
Graves,Long Sword,Basic,0.1756,0.2174,1.61,5.0,The Collector,Youmuu's Ghostblade,Plated Steelcaps
Nocturne,Stridebreaker,Legendary,0.6613,0.5366,3.13,15.0,Experimental Hexplate,Black Cleaver,Death's Dance
Karma,Refillable Potion,Consumable,0.033,0.4091,2.21,5.0,Ionian Boots of Lucidity,Control Ward,Moonstone Renewer
Kog Maw,Guinsoo's Rageblade,Legendary,0.5676,0.5238,1.85,15.0,Blade of The Ruined King,Runaan's Hurricane,Wit's End
Graves,Serylda's Grudge,Legendary,0.0076,1.0,3.67,20.0,Edge of Night,Serpent's Fang,The Collector
Heimerdinger,Amplifying Tome,Basic,0.2203,0.3077,1.4,5.0,Sorcerer's Shoes,Blackfire Torch,Rabadon's Deathcap
Galio,Cloth Armor,Basic,0.1034,0.3333,2.07,10.0,Amplifying Tome,Plated Steelcaps,Riftmaker
Viego,Hearthbound Axe,Epic,0.0022,0.0,0.64,5.0,Rectrix,Trinity Force,
Kaisa,Dagger,Basic,0.1306,0.3694,1.52,5.0,Kraken Slayer,Guinsoo's Rageblade,Berserker's Greaves
Talon,Boots of Swiftness,Boots,0.131,0.6667,3.71,25.0,Youmuu's Ghostblade,Umbral Glaive,Edge of Night
Velkoz,Void Staff,Legendary,0.0102,0.0,2.31,40.0,Shadowflame,Luden's Companion,Blackfire Torch
Fiora,Spear of Shojin,Legendary,0.1536,0.5814,2.01,25.0,Ravenous Hydra,Trinity Force,Death's Dance
Mordekaiser,Randuin's Omen,Legendary,0.04,0.4286,1.84,30.0,Rylai's Crystal Scepter,Dusk and Dawn,Hextech Rocketbelt
Orianna,Refillable Potion,Consumable,0.0842,0.6364,3.39,5.0,Doran's Ring,Blackfire Torch,Needlessly Large Rod
Jhin,Rapid Firecannon,Legendary,0.5307,0.5531,3.58,25.0,Infinity Edge,Stormrazor,Lord Dominik's Regards
Xerath,Zhonya's Hourglass,Legendary,0.0424,0.5714,3.35,35.0,Luden's Companion,Shadowflame,Rabadon's Deathcap
Bard,Aether Wisp,Epic,0.005,0.6667,4.22,25.0,Bandlepipes,Bandleglass Mirror,Dead Man's Plate
Ziggs,Ruby Crystal,Basic,0.0056,0.0,1.86,15.0,Luden's Companion,Oblivion Orb,Rabadon's Deathcap
Azir,Oracle Lens,Trinket,0.0611,0.375,2.33,15.0,Nashor's Tooth,Rabadon's Deathcap,Mercury's Treads
Gragas,Oblivion Orb,Epic,0.0381,0.625,2.97,10.0,Blackfire Torch,Cosmic Drive,Hextech Rocketbelt
Samira,Control Ward,Consumable,0.0046,0.0,0.78,10.0,Doran's Blade,Infinity Edge,Long Sword
Zeri,Long Sword,Basic,0.1148,0.5357,2.95,10.0,Fiendhunter Bolts,Infinity Edge,Yun Tal Wildarrows
Irelia,Boots,Boots,0.0795,0.2857,0.88,10.0,Blade of The Ruined King,Hullbreaker,Recurve Bow
Zaahen,Giant's Belt,Epic,0.005,0.5,2.03,25.0,Sundered Sky,Trinity Force,Death's Dance
Vayne,Experimental Hexplate,Legendary,0.1386,0.5375,2.6,25.0,Trinity Force,Guinsoo's Rageblade,Stormrazor
Miss Fortune,Plated Steelcaps,Boots,0.0821,0.3913,2.47,20.0,The Collector,Bloodthirster,Infinity Edge
Shaco,Cloak of Agility,Basic,0.0291,0.3333,1.4,20.0,The Collector,Berserker's Greaves,Pickaxe
Dr Mundo,Boots of Swiftness,Boots,0.6075,0.5605,3.31,15.0,Heartsteel,Spirit Visage,Dead Man's Plate
Malphite,Zhonya's Hourglass,Legendary,0.0151,0.4286,2.57,25.0,Malignance,Abyssal Mask,Randuin's Omen
Nocturne,Elixir of Iron,Consumable,0.0081,1.0,5.25,40.0,Black Cleaver,Death's Dance,Experimental Hexplate
Vayne,Berserker's Greaves,Boots,0.4905,0.4982,1.8,10.0,Stormrazor,Essence Reaver,Guinsoo's Rageblade
KSante,Bandlepipes,Legendary,0.0528,0.4,1.8,30.0,Iceborn Gauntlet,"Jak'Sho, The Protean",Kaenic Rookern
Ekko,Doran's Ring,Starter,0.1632,0.424,2.22,5.0,Dusk and Dawn,Dark Seal,Sorcerer's Shoes
Corki,Tunneler,Epic,0.0015,0.0,1.22,30.0,Black Cleaver,,
Amumu,Lost Chapter,Epic,0.0127,1.0,2.6,10.0,Hollow Radiance,Liandry's Torment,
Akshan,Blade of The Ruined King,Legendary,0.0029,1.0,1.47,40.0,Infinity Edge,Kraken Slayer,Lord Dominik's Regards
Gragas,Oracle Lens,Trinket,0.4143,0.5517,2.67,5.0,Hextech Rocketbelt,Sorcerer's Shoes,Ionian Boots of Lucidity
Nocturne,Farsight Alteration,Trinket,0.3629,0.3556,2.42,15.0,Experimental Hexplate,Stridebreaker,Plated Steelcaps
Qiyana,Umbral Glaive,Legendary,0.3714,0.5436,2.71,10.0,Profane Hydra,Serylda's Grudge,Edge of Night
Jayce,Long Sword,Basic,0.328,0.4581,2.28,5.0,Youmuu's Ghostblade,Opportunity,Ionian Boots of Lucidity
Nautilus,Elixir of Iron,Consumable,0.0061,0.6,2.38,25.0,Bandlepipes,Control Ward,Locket of the Iron Solari
Lee Sin,Maw of Malmortius,Legendary,0.0867,0.4359,3.36,25.0,Sundered Sky,Death's Dance,Eclipse
Khazix,Edge of Night,Legendary,0.4702,0.5704,3.24,25.0,Umbral Glaive,Serylda's Grudge,Bastionbreaker
Viktor,Doran's Ring,Starter,0.4259,0.487,2.41,5.0,Blackfire Torch,Liandry's Torment,Amplifying Tome
Kassadin,Null-Magic Mantle,Basic,0.0156,0.375,1.53,15.0,Rod of Ages,Boots,Malignance
Akshan,Pickaxe,Basic,0.1584,0.5,2.05,5.0,Statikk Shiv,The Collector,Lord Dominik's Regards
Miss Fortune,Essence Reaver,Legendary,0.0821,0.5652,2.38,20.0,Bloodthirster,Infinity Edge,Lord Dominik's Regards
Nocturne,Boots,Boots,0.1613,0.4,1.65,10.0,Stridebreaker,Experimental Hexplate,Axiom Arc
Janna,Needlessly Large Rod,Basic,0.0054,0.0,2.4,25.0,Mejai's Soulstealer,Moonstone Renewer,Ardent Censer
Draven,Umbral Glaive,Legendary,0.0211,0.7143,2.34,15.0,Youmuu's Ghostblade,Lord Dominik's Regards,Infinity Edge
Zoe,Hextech Rocketbelt,Legendary,0.0069,1.0,3.65,15.0,Mejai's Soulstealer,Shadowflame,
Kalista,Force of Nature,Legendary,0.0095,1.0,3.71,35.0,Blade of The Ruined King,Guardian Angel,Guinsoo's Rageblade
Monkey King,Doran's Shield,Starter,0.0407,0.2857,1.25,5.0,Plated Steelcaps,Ruby Crystal,Trinity Force
Evelynn,Oblivion Orb,Epic,0.009,0.0,1.89,15.0,Lich Bane,Rabadon's Deathcap,Void Staff
Udyr,Doran's Shield,Starter,0.0067,0.0,1.4,5.0,Hullbreaker,Null-Magic Mantle,Plated Steelcaps
Alistar,Thornmail,Legendary,0.0173,0.5714,4.47,25.0,Zeke's Convergence,Bandlepipes,Locket of the Iron Solari
Fizz,Cryptbloom,Legendary,0.0111,0.5,2.13,35.0,Shadowflame,Zhonya's Hourglass,Dusk and Dawn
Evelynn,Glowing Mote,Basic,0.009,0.0,4.75,10.0,Lich Bane,Mejai's Soulstealer,Rabadon's Deathcap
Amumu,Bandlepipes,Legendary,0.0886,0.4286,2.0,15.0,Abyssal Mask,Locket of the Iron Solari,Knight's Vow
Miss Fortune,Axiom Arc,Legendary,0.0571,0.5,1.89,15.0,The Collector,Youmuu's Ghostblade,Infinity Edge
Renata,Farsight Alteration,Trinket,0.0233,0.0,2.46,15.0,Nashor's Tooth,Rabadon's Deathcap,Blasting Wand
Neeko,Zhonya's Hourglass,Legendary,0.4043,0.5175,3.49,25.0,Hextech Rocketbelt,Frozen Heart,Shadowflame
Renekton,Negatron Cloak,Epic,0.0287,0.75,2.48,30.0,Black Cleaver,Sterak's Gage,Death's Dance
Rammus,Control Ward,Consumable,0.1818,0.5,5.44,10.0,Thornmail,Plated Steelcaps,"Jak'Sho, The Protean"
Rek Sai,Scorchclaw Pup,Starter,0.0212,0.3333,1.58,5.0,Titanic Hydra,Boots,Long Sword
Trundle,Sheen,Epic,0.0326,0.6667,2.83,5.0,Phage,Blade of The Ruined King,Ravenous Hydra
Lucian,Randuin's Omen,Legendary,0.0043,0.0,2.05,35.0,Essence Reaver,Infinity Edge,Navori Flickerblade
Poppy,Sundered Sky,Legendary,0.3022,0.5091,2.0,15.0,Dead Man's Plate,Randuin's Omen,Spirit Visage
Gangplank,Profane Hydra,Legendary,0.0057,1.0,2.64,30.0,Essence Reaver,Infinity Edge,Mortal Reminder
Galio,Chain Vest,Epic,0.0259,0.5556,2.32,10.0,Hollow Radiance,Riftmaker,Bandlepipes
Sejuani,Doran's Ring,Starter,0.1071,0.5556,1.69,5.0,Dusk and Dawn,Plated Steelcaps,Dark Seal
Sivir,Immortal Shieldbow,Legendary,0.0174,0.5714,2.44,30.0,Essence Reaver,Infinity Edge,Navori Flickerblade
Gragas,Archangel's Staff,Legendary,0.0048,1.0,0.5,15.0,,,
Pyke,Profane Hydra,Legendary,0.0082,0.3333,2.04,10.0,Bastionbreaker,Youmuu's Ghostblade,Edge of Night
Graves,Kindlegem,Epic,0.0076,0.0,0.63,20.0,Hubris,Phage,
Nunu,Seeker's Armguard,Epic,0.0149,0.6667,9.64,25.0,Liandry's Torment,Frozen Heart,Kaenic Rookern
Vladimir,Blasting Wand,Basic,0.0494,0.375,2.41,30.0,Rabadon's Deathcap,Hextech Rocketbelt,Blighting Jewel
Syndra,Refillable Potion,Consumable,0.0656,0.4865,2.2,5.0,Doran's Ring,Blackfire Torch,Luden's Companion
Kalista,Zeal,Epic,0.0095,0.0,1.25,25.0,Blade of The Ruined King,Scout's Slingshot,Yun Tal Wildarrows
Ambessa,Randuin's Omen,Legendary,0.0015,0.0,2.43,30.0,Death's Dance,Eclipse,Spear of Shojin
Blitzcrank,Needlessly Large Rod,Basic,0.009,1.0,2.57,30.0,Boots of Swiftness,Luden's Companion,Stormsurge
Vi,Giant's Belt,Epic,0.025,0.3333,2.52,30.0,Sundered Sky,Black Cleaver,Sterak's Gage
Blitzcrank,Plated Steelcaps,Boots,0.0452,0.6,4.88,15.0,Bandlepipes,Frozen Heart,Locket of the Iron Solari
Akali,Rectrix,Epic,0.0019,0.0,0.27,15.0,Caulfield's Warhammer,Serrated Dirk,
Kassadin,Randuin's Omen,Legendary,0.0233,0.5833,2.67,30.0,Rod of Ages,Malignance,Winter's Approach
Irelia,Immortal Shieldbow,Legendary,0.0023,1.0,2.67,20.0,Blade of The Ruined King,Hullbreaker,Kraken Slayer
Pyke,Oracle Lens,Trinket,0.9699,0.5311,2.6,5.0,Control Ward,Umbral Glaive,Boots of Swiftness
Yuumi,Forbidden Idol,Epic,0.5146,0.4545,4.54,15.0,Moonstone Renewer,Mikael's Blessing,Echoes of Helia
Sylas,Tear of the Goddess,Starter,0.0033,1.0,1.35,5.0,Doran's Ring,Giant's Belt,Hextech Rocketbelt
Fiddlesticks,Glowing Mote,Basic,0.0317,0.5714,2.81,10.0,Boots of Swiftness,Amplifying Tome,Bandlepipes
Seraphine,Imperial Mandate,Legendary,0.0072,0.5,2.89,25.0,Rylai's Crystal Scepter,Mejai's Soulstealer,
Yuumi,Mejai's Soulstealer,Legendary,0.0351,0.5,5.97,15.0,Moonstone Renewer,Ardent Censer,Redemption
Viego,Infinity Edge,Legendary,0.0244,0.5,2.53,30.0,,,
